
"country \ year","Most recent","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1982","1980","1979","1978","1977","1976","1974","1973","1972","1971","1966","1962","1961","1960"
"Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","39.2","","","","","","","","","","39.2","39.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","56.0","","56.0","49.8","49.8","","","","","","","51.7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","55.3","","","","","","55.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","55.4","","","","","","","55.4","55.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Northern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Southern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","50.1","","","","","","","","","50.1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon 1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","46.7","","","","","","","46.7","","48.9","48.9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","58.9","","","","","","","","","","","","","","58.9","58.9","58.9","58.9","","","","","","","","","","","","","","","","","","","",""
"Colombia","50.2","","","","","50.2","50.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","35.4","","","","","","","","","","","","","35.4","35.4","35.4","","","","","","","","","","","","","","","","","","","","","",""
"Cuba","51.8","","","","","","","","51.8","51.8","","","","","","","","","","","","","","","56.3","","","","","","","","","","","","",""
"Cyprus","49.6","","","","","","","49.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","45.9","","","","","","","","45.9","","","51.7","","","","","","50.2","","","","","","","","","","","","","","","","","","","",""
"Czechoslovakia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","55.3","","","","","","","","","","55.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dutch New Guinea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt 1961-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","60.1","","","","","","","","","","","","","60.1","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia PDR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federal Republic of Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Malaya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
